Negara,Provinsi,Lat,Lon,Tahun ,Jumlah Puskesmas ,Jumlah Rumah Sakit Khusus,Jumlah Rumah Sakit Umum,Persentase kemiskinan (sem.1 (maret)),Persentase kemiskinan (sem.2 (september)),Jumlah kemiskinan (sem.2 (september)),Jumlah Penduduk Yang Dicakup Asuransi Kesehatan Atau Sistem Kesehatan Masyarakat (Orang),Suhu Minimum ,Suhu Rata-rata,Suhu Maksimum,jumlah penduduk ,Jumlah Penduduk (ribu jiwa),Luas Wilayah,Kepadatan penduduk (jiwa/km2),Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak (Persen),Jumlah Curah Hujan (mm),Jumlah Hari Hujan (hari),Annual Parasite Incidence (API),"Status Endemisitas (0=Eliminasi, 1=Rendah, 2=Sedang, 3=Tinggi)"
Indonesia,West Sulawesi,-4.14491,122.174605,2012,258,2,21,13.71,13.06,304.25,"1,205,161",21.20,26.89,34.27,"2,346,000","2,346","38,068",62,55.17,"2,258",184,0.794,1
Indonesia,South Sulawesi,0.6999372,122.4467238,2012,87,1,10,17.33,17.22,187.73,"1,040,164",22.20,27.00,34.20,"1,080,000","1,080","11,257",96,44.68,"1,775",207.00,1.64,2
Indonesia,Southeast Sulawesi,-2.8441371,119.2320784,2012,91,0,8,13.24,13.01,160.55,"551,398",24.30,27.60,33.30,"1,211,000","1,211","16,787",73,45.04,"1,087",165.00,1.225,2
Indonesia,Maluku,-3.2384616,130.1452734,2012,178,2,24,21.78,20.76,338.89,"1,533,506",23.10,26.40,32.40,"1,600,000","1,600","46,914",35,53.17,"5,041",226.00,7.417,3
Indonesia,North Maluku,1.5709993,127.8087693,2012,119,0,17,8.47,8.06,88.3,"600,975",21.39,26.90,34.18,"1,091,000","1,091","31,983",35,55.52,"2,294",185,5.078,3
Indonesia,West Papua,-1.3361154,133.1747162,2012,128,0,13,28.2,27.04,223.24,"760,422",23.60,27.20,34.00,"807,000",807,"102,955",8,55.57,"3,290",256.00,52.269,3
Indonesia,Papua,-4.269928,138.0803529,2012,381,2,32,31.11,30.66,976.37,2833381,23.5,27,32.8,2974000,2974,"319,036",10,26.97,"1,916",219.00,60.556,3
Indonesia,Aceh,,,2013,334,2,51,17.6,17.72,855.71,"4,842,238",22.00,27.00,33.70,"4,811,000","4,811","57,956",84,53.47,"1,624",151.00,0.44,1
Indonesia,North Sumatra,,,2013,570,15,141,10.06,10.39,1390.8,"6,346,377",21.60,28.77,36.40,"13,590,000","13,590","72,981",187,61.92,"2,627",218.00,1.3,2
Indonesia,West Sumatra,,,2013,262,22,39,8.14,7.56,380.63,"3,215,162",22.70,25.13,34.23,"5,066,000","5,066","42,012",121,46.13,"4,627",232.00,0.26,1
Indonesia,Riau,,,2013,207,10,44,7.72,8.42,522.53,"3,043,366",21.20,26.00,36.20,"6,033,000","6,033","87,023",70,63.44,"2,629",214.00,0.23,1
Indonesia,Riau Islands,,,2013,176,3,26,8.07,8.42,281.57,"1,411,809",21.00,26.75,34.90,"3,286,000","3,286","5,016",656,58.53,"2,094",229.00,1.11,2
Indonesia,Jambi,,,2013,319,11,40,14.24,14.06,1108.21,"7,450,394",20.40,27.30,34.10,"7,829,000","7,829","91,592",86,51.66,"3,409",238.00,0.39,1
